CARE_SITE_ID,CARE_SITE_NAME,PLACE_OF_SERVICE_CONCEPT_ID,LOCATION_ID,CARE_SITE_SOURCE_VALUE,PLACE_OF_SERVICE_SOURCE_VALUE
4,,8940,,860998529,Office
64,,8940,,889628218,Office
124,,8717,,14016U,Inpatient Facility
184,,8940,,936059563,Office
244,,8940,,433064565,Office
304,,8940,,161762922,Office
364,,8940,,623148682,Office
424,,8940,,274135138,Office
484,,8940,,541814399,Office
544,,8756,,1613UU,Outpatient Facility
604,,8940,,671015769,Office
664,,8940,,650369546,Office
724,,8940,,943407045,Office
784,,8940,,528905375,Office
844,,8940,,886322344,Office
904,,8717,,3400XN,Inpatient Facility
964,,8940,,546060317,Office
1024,,8940,,134144757,Office
1084,,8940,,313907995,Office
1144,,8756,,0700QA,Outpatient Facility
1204,,8940,,792517162,Office
1264,,8940,,678229749,Office
1324,,8940,,290717585,Office
1384,,8940,,336473576,Office
1444,,8940,,961713957,Office
1504,,8940,,107502816,Office
1564,,8940,,239536897,Office
1624,,8940,,820623814,Office
1684,,8940,,343840507,Office
1744,,8940,,313673788,Office
1804,,8940,,384506369,Office
1864,,8940,,979821347,Office
1924,,8940,,197756917,Office
1984,,8940,,756764531,Office
2044,,8756,,2600HG,Outpatient Facility
2104,,8940,,952396789,Office
2164,,8756,,3000AS,Outpatient Facility
2224,,8940,,171848139,Office
2284,,8940,,200601913,Office
2344,,8940,,666069762,Office
2404,,8940,,414259805,Office
2464,,8940,,106694198,Office
2524,,8756,,0100KM,Outpatient Facility
2584,,8940,,359754140,Office
2644,,8940,,363388746,Office
2704,,8756,,1100SB,Outpatient Facility
2764,,8940,,083588426,Office
2824,,8940,,782042447,Office
2884,,8756,,0501KH,Outpatient Facility
2944,,8940,,151273319,Office
3004,,8940,,357045288,Office
3064,,8940,,812225325,Office
3124,,8940,,363766339,Office
3184,,8940,,144645572,Office
3244,,8940,,593807417,Office
3304,,8756,,0513HH,Outpatient Facility
3364,,8940,,034401934,Office
3424,,8756,,11388R,Outpatient Facility
3484,,8940,,149015330,Office
3544,,8940,,639244547,Office
3604,,8940,,015387224,Office
3664,,8940,,154928357,Office
3724,,8940,,493097244,Office
3784,,8940,,561631123,Office
3844,,8940,,143949598,Office
3904,,8940,,941451084,Office
3964,,8756,,4613AH,Outpatient Facility
4024,,8940,,008545297,Office
4084,,8940,,374614319,Office
4144,,8940,,033838098,Office
4204,,8940,,495733313,Office
4264,,8940,,392790749,Office
