TABLE_NAME,COLUMN_NAME,IS_NULLABLE,DATA_TYPE,DESCRIPTION
CONCEPT,CONCEPT_NAME,NO,CHARACTER VARYING,
CONCEPT,DOMAIN_ID,NO,CHARACTER VARYING,
CONCEPT,CONCEPT_ID,NO,BIGINT,
DOMAIN,DOMAIN_ID,NO,CHARACTER VARYING,
DOMAIN,DOMAIN_NAME,NO,CHARACTER VARYING,
DOMAIN,DOMAIN_CONCEPT_ID,NO,INTEGER,
LOCATION,LOCATION_ID,NO,INTEGER,
LOCATION,ADDRESS_1,YES,CHARACTER VARYING,
LOCATION,ADDRESS_2,YES,CHARACTER VARYING,
LOCATION,CITY,YES,CHARACTER VARYING,
LOCATION,STATE,YES,CHARACTER VARYING,
LOCATION,ZIP,YES,CHARACTER VARYING,
LOCATION,COUNTY,YES,CHARACTER VARYING,
LOCATION,LOCATION_SOURCE_VALUE,YES,CHARACTER VARYING,
RELATIONSHIP,RELATIONSHIP_ID,NO,CHARACTER VARYING,
RELATIONSHIP,RELATIONSHIP_NAME,NO,CHARACTER VARYING,
RELATIONSHIP,IS_HIERARCHICAL,NO,CHARACTER VARYING,
RELATIONSHIP,DEFINES_ANCESTRY,NO,CHARACTER VARYING,
RELATIONSHIP,REVERSE_RELATIONSHIP_ID,NO,CHARACTER VARYING,
RELATIONSHIP,RELATIONSHIP_CONCEPT_ID,NO,INTEGER,
ENTITY,ID,NO,BIGINT,
ENTITY,ENTITY_CONCEPT_ID,YES,BIGINT,
ENTITY,IDENTIFIED_BY,YES,TEXT,
MEASUREMENTS,ID,NO,BIGINT,
MEASUREMENTS,ENTITY_ID,YES,BIGINT,
MEASUREMENTS,MEASUREMENT_CONCEPT_ID,YES,BIGINT,
MEASUREMENTS,MEASUREMENT_VALUE_CONCEPT_ID,YES,BIGINT,
MEASUREMENTS,MEASUREMENT_VALUE_AS_VALUE,YES,TEXT,
