state,pregnant_deaths,care_sites,total_outcome,still_births
andhra pradesh,57,910,3125928,23822
a & n islands,18,14,9281,151
arunachal pradesh,42,43,22515,458
assam,69,510,1099488,27601
bihar,66,1053,2453808,67049
chandigarh,33,6,48870,1324
chhattisgarh,20,626,1202484,18509
dadra & nagar haveli,13,8,17646,160
daman & diu,24,3,3223,39
delhi,57,76,405784,7159
goa,54,25,41819,574
gujarat,117,1059,2328976,38862
haryana,63,338,1080676,10517
himachal pradesh,63,274,215411,2396
jharkhand,42,441,1137503,12902
karnataka,66,1219,1823334,31609
kerala,14,705,910294,3897
lakshadweep,105,1,1121,50
madhya pradesh,45,1296,3270960,48825
maharashtra,66,1375,3335577,51637
manipur,27,52,73463,538
meghalaya,75,63,144638,3226
mizoram,45,45,47578,383
nagaland,48,53,33490,378
odisha,9,843,1250304,34708
puducherry,54,13,87512,1959
punjab,69,370,809438,12164
rajasthan,63,1653,2816135,46772
sikkim,60,18,15721,444
tripura,57,115,110402,1929
uttarakhand,45,218,272635,3449
uttar pradesh,63,2413,8561592,112797
