NUMBER OF CARE SITE,number of pregnancy outcomes,number of still births,NO OF PREGNANT WOMAN DEATH,STATE
10,3144,51,197,AN
15,1539868,11629,568,AP
20,12330,241,531,AR
24,554024,14409,46,AS
25,1269313,30541,136,BR
23,24645,639,245,CH
14,600075,9804,150,CT
2,1591,12,441,DD
14,209072,3749,166,DL
14,9194,106,346,DN
17,21546,220,280,GA
33,1224361,16697,508,GJ
45,107015,1261,131,HP
23,538841,5323,606,HR
45,599176,7395,303,JH
56,161699,3613,398,JK
34,881933,14935,220,KA
34,394557,1667,398,KL
15,575,34,400,LD
14,1654569,24826,202,MH
12,74212,1681,176,ML
15,40049,295,266,MN
12,1629349,24713,149,MP
17,22980,187,407,MZ
10,17828,171,169,NL
22,665458,16406,424,OR
23,410520,6279,177,PB
18,43918,926,501,PY
14,1436214,25032,167,RJ
12,8528,165,539,SK
13,1087,125,218,TG
14,1138402,10992,327,TN
16,55837,1102,195,TR
20,4316678,65022,490,UP
22,133827,1461,371,UT
14,1525503,23845,172,WB
TOTAL,,,,
